Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Mahatma Gandhi Institute of Technology,"MGIT Main Rd, Kokapet, Gandipet, Telangana ",2024-08-05,Offline,Nodal Center,15880,695
Lakireddy Bali reddy college of Engineering,"L.B.Reddy Nagar, Krishna District, Mylavaram, Andhra Pradesh",2024-05-10," Online",Nodal Center,12997,8371
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",2024-06-01,Online,Nodal Center,12582,492
K.S.R.M College of Engineering,"Yerramasupalli, C.K. Dinne, Kadapa, Andhra Pradesh",2024-07-31,Online,Nodal Center,6351,1130
Santhiram Engineering College,"FCR9+VHQ, NH40, Nandyala, Andhra Pradesh ",2024-03-05,Offline,Nodal Center,4240,247
Santhiram Engineering College,"FCR9+VHQ, NH40, Nandyala, Andhra Pradesh ",21/11/2024,Offline,Nodal Center,4180,239
Annamacharya Institute Of Technology & Sciences,"New Boyanapalli, Rajampet, Andhra Pradesh ",2024-06-11,Offline,Nodal Center,2623,193
Maturi Venkata Subba Rao Engineering College,"Saroornagar Mandal, Badangpet - Nadargul Main Rd, Hyderabad, Telangana ",26-08-23 to 05-02-24,Offline,Nodal Center,2460,384
KL University Guntur,"Green Fields, Vaddeswaram, Andhra Pradesh ","30/3/2024 ",Online,Nodal Center,2083,605
Malla Reddy College of Engineering,"Maisammaguda, Dulapally, Hyderabad, Telangana",2024-07-12,Online,IIIT Hyderabad,1729,139
B V Raju Institute of Technology,"Vishnupur, Narsapur,Tuljaraopet, Telangana",2024-06-05,Offline,Nodal Center,1602,174
Annamacharya Institute Of Technology & Sciences,"New Boyanapalli, Rajampet, Andhra Pradesh ",2024-03-20 to 2024-03-22,Offline,Nodal Center,446,61
CMR Technical Campus,"Kandlakoya (V, Medchal Rd, Hyderabad, Telangana",2024-07-05,Online,Nodal Center,251,59
Samskruti College of Engineering and Technology,"Keesara-Bogaram-Ghatkesar Road, Kondapur, Telangana",2024-04-10,Online,IIIT Hyderabad,223,189
Bharat Institute of Engineering & Technology,"Mangalpally Village, Ibrahimpatnam Mandal, Telangana ",2024-05-05,Online,Nodal Center,199,69
Biluru Gurubasava Mahaswamiji Institute of Technology,"Mantur Road,
Mudhol - 587313
Bagalkot District, Karnataka. India",2024-06-05,Online,Nodal Center,180,42
Srinivasa Institute of Engineering and Technology,"NH – 216, Cheyyeru (V), Amalapuram, Dr B. R. Ambedkar District, Andhra Pradesh",2024-07-10,Online,Nodal Center,101,27
Sphoorthy Engineering College,"Nadergul Rd, Near vanasthalipuram, Hyderabad, Telangana",2024-03-06,Online,IIIT Hyderabad,70,97
Aditya College of Engineering & Technology,"Aditya Nagar, ADB Rd, Surampalem, Andhra Pradesh",2024-01-04,Online,IIIT Hyderabad,61,14
Aurora Higher Education And Research Academy,"16-11-210/1, Lingampally, Kachiguda, Hyderabad, Telangana",30-04-2024,Online,IIIT Hyderabad,15,33
Samskruti College of Engineering and Technology,"Keesara-Bogaram-Ghatkesar Road, Kondapur, Telangana",2024-04-10,Offline,IIIT Hyderabad,0,0
Chaitanya Bharathi Institute of Technology,"Osman Sagar Rd, Kokapet, Gandipet, Telangana",2024-05-31,Offline,IIIT Hyderabad,0,0
Malla Reddy College of Engineering,"Maisammaguda, Dulapally, Hyderabad, Telangana",2024-07-12,Online,Nodal Center,null,null
Gokaraju Rangaraju Institute of Engineering and Technology,"Bachupally, Survey No. 288, Nizampet Rd, Kukatpally, Hyderabad, Telangana",19/11/2024,Offline,IIIT Hyderabad,null,null
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",13/11/2024,Offline,IIIT Hyderabad,null,null
Bapatla Engineering College,"GBC Rd, Mahatmajipuram, Bapatla, Andhra Pradesh ",2024-05-11,Online,IIIT Hyderabad,null,null
