Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
R.V.R. & J.C.College of Engineering,"Chowdavaram, Andhra Pradesh ",2 Apr 2019,Offline,IIIT Hyderabad,22541,928
Bapatla Engineering College,"GBC Rd, Mahatmajipuram, Bapatla, Andhra Pradesh ",4 Apr 2019,Offline,IIIT Hyderabad,8759,469
Mahatma Gandhi Institute of Technology,"MGIT Main Rd, Kokapet, Gandipet, Telangana ",2 Nov 2019,Offline,Nodal Center,6705,610
Vignan Institute of Technology and Science,"Near Ramoji film city, Deshmuki Village, Yadadri, Bhuvanagiri, Telangana ",30 Dec 2019,Offline,IIIT Hyderabad,5427,261
Aditya College of Engineering & Technology,"Aditya Nagar, ADB Rd, Surampalem, Andhra Pradesh",14 Mar 2019,Offline,IIIT Hyderabad,4751,184
Gandhi Institute of Technology and Management,"Gandhi Nagar, Rushikonda, Visakhapatnam, Andhra Pradesh ",11 Mar 2019,Offline,IIIT Hyderabad,4500,203
Annamacharya Institute Of Technology & Sciences,"New Boyanapalli, Rajampet, Andhra Pradesh ",28 Feb 2019,Offline,IIIT Hyderabad,4466,224
GVP College of Engineering,"R8CR+5WM, Gandhi Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh",12 Mar 2019,Offline,IIIT Hyderabad,4056,174
Maharaj Vijayaram Gajapathi Raj College of Engineering,"Vijayaram Nagar campus, Chintalavalasa, Vizianagaram, Andhra Pradesh ",9 Mar 2019,Offline,IIIT Hyderabad,3999,237
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",4 Feb 2019,Offline,Nodal Center,3919,222
Sree Vidyanikethan Engineering College,"Sree Sainath Nagar, Tirupati, Andhra Pradesh ",26 Feb 2019,Offline,IIIT Hyderabad,3846,206
St.Ann's College for Women,"12-2-823/A/45, St Ann's Rd, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana ",7 Mar 2019,Offline,IIIT Hyderabad,3834,207
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology,"Vignana Jyothi Nagar,Pragathi Nagar, Nizampet(S.O, Hyderabad, Telangana ",11 Feb 2019,Offline,IIIT Hyderabad,3812,313
